time,city,region,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,sunshine_duration,daylight_duration,precipitation_hours,isa,isa_scaled,is_harmattan,is_dry_season,is_stagnant,is_no_rain,pm25_proxy,month,year
2020-01-01,Abong-Mbang,Est,3.98,13.17,22.9,31.4,16.2,0.0,0.0,11.6,22.3,338,21.57,4.64,39370.87,42824.5,0,0.09827586206896552,0.7138906961613534,0,1,0,1,27.835326010840003,1,2020
2020-01-02,Abong-Mbang,Est,3.98,13.17,22.4,30.2,16.0,0.0,0.0,12.6,20.5,344,21.1,4.55,36660.33,42827.59,0,0.08095238095238096,0.5880503144654089,0,1,0,1,26.091846451409175,1,2020
2020-01-03,Abong-Mbang,Est,3.98,13.17,22.7,30.3,16.6,0.0,0.0,10.1,28.4,38,20.66,4.7,39600.0,42830.96,0,0.10198019801980199,0.7407995516532786,0,1,0,1,27.969561147035996,1,2020
2020-01-04,Abong-Mbang,Est,3.98,13.17,22.5,30.9,15.9,0.0,0.0,10.1,21.2,30,21.39,4.68,38311.71,42834.58,0,0.1079207920792079,0.7839529235942462,0,1,0,1,28.534559769323426,1,2020
2020-01-05,Abong-Mbang,Est,3.98,13.17,22.8,31.6,15.6,0.0,0.0,9.8,18.0,57,21.28,4.55,37143.84,42838.46,0,0.11836734693877551,0.8598382749326147,0,1,0,1,29.50041494772694,1,2020
2020-01-06,Abong-Mbang,Est,3.98,13.17,23.4,30.9,18.5,0.0,0.0,10.2,25.2,5,20.99,4.6,39440.69,42842.58,0,0.10686274509803921,0.776267110617832,0,1,0,1,28.640878967581347,1,2020
2020-01-07,Abong-Mbang,Est,3.98,13.17,24.1,32.3,17.5,0.0,0.0,10.8,27.4,36,21.35,4.8,37492.42,42846.95,0,0.11388888888888886,0.82730607966457,0,1,0,1,29.545572537564798,1,2020
2020-01-08,Abong-Mbang,Est,3.98,13.17,24.1,32.3,17.3,0.0,0.0,9.4,23.8,1,21.52,4.77,37026.03,42851.56,0,0.1308510638297872,0.9505218787635487,0,1,0,1,31.04556882131321,1,2020
2020-01-09,Abong-Mbang,Est,3.98,13.17,24.6,32.0,19.3,0.0,0.0,13.9,30.2,234,19.64,4.39,28032.39,42856.39,0,0.08633093525179855,0.627120944753631,0,1,0,1,26.97837769687621,1,2020
2020-01-10,Abong-Mbang,Est,3.98,13.17,23.7,29.4,20.0,1.3,1.3,11.3,25.9,220,14.7,3.7,29935.88,42861.46,6,0.07699115044247787,0.5592753381198864,0,1,0,0,20.55352999886123,1,2020
